index,date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
223,2013-09-01T00:00:00,TPCP,GHCND:CEM00043441,2272,0,0,Sri Lanka,TPCP
224,2013-09-01T00:00:00,TPCP,GHCND:CEM00043466,2217,0,0,Sri Lanka,TPCP
225,2013-10-01T00:00:00,TPCP,GHCND:CE000434730,1720,0,0,Sri Lanka,TPCP
226,2013-10-01T00:00:00,TPCP,GHCND:CEM00043418,348,0,0,Sri Lanka,TPCP
227,2013-10-01T00:00:00,TPCP,GHCND:CEM00043424,1149,0,0,Sri Lanka,TPCP
228,2013-10-01T00:00:00,TPCP,GHCND:CEM00043441,2689,0,0,Sri Lanka,TPCP
229,2013-10-01T00:00:00,TPCP,GHCND:CEM00043466,1391,0,0,Sri Lanka,TPCP
230,2013-11-01T00:00:00,TPCP,GHCND:CE000434730,1454,0,0,Sri Lanka,TPCP
231,2013-11-01T00:00:00,TPCP,GHCND:CEM00043418,1624,0,0,Sri Lanka,TPCP
232,2013-11-01T00:00:00,TPCP,GHCND:CEM00043424,2805,0,0,Sri Lanka,TPCP
233,2013-11-01T00:00:00,TPCP,GHCND:CEM00043441,2090,0,0,Sri Lanka,TPCP
234,2013-11-01T00:00:00,TPCP,GHCND:CEM00043466,1507,0,0,Sri Lanka,TPCP
235,2013-12-01T00:00:00,TPCP,GHCND:CE000434730,871,0,0,Sri Lanka,TPCP
236,2013-12-01T00:00:00,TPCP,GHCND:CEM00043418,2052,0,0,Sri Lanka,TPCP
237,2013-12-01T00:00:00,TPCP,GHCND:CEM00043424,579,0,0,Sri Lanka,TPCP
238,2013-12-01T00:00:00,TPCP,GHCND:CEM00043441,336,0,0,Sri Lanka,TPCP
239,2013-12-01T00:00:00,TPCP,GHCND:CEM00043466,1356,0,0,Sri Lanka,TPCP
240,2014-01-01T00:00:00,TPCP,GHCND:CE000434730,569,0,0,Sri Lanka,TPCP
241,2014-01-01T00:00:00,TPCP,GHCND:CEM00043418,2085,0,0,Sri Lanka,TPCP
242,2014-01-01T00:00:00,TPCP,GHCND:CEM00043424,1054,0,0,Sri Lanka,TPCP
243,2014-01-01T00:00:00,TPCP,GHCND:CEM00043441,275,0,0,Sri Lanka,TPCP
244,2014-01-01T00:00:00,TPCP,GHCND:CEM00043466,859,0,0,Sri Lanka,TPCP
245,2014-02-01T00:00:00,TPCP,GHCND:CE000434730,100,0,0,Sri Lanka,TPCP
246,2014-02-01T00:00:00,TPCP,GHCND:CEM00043418,829,0,0,Sri Lanka,TPCP
